Words,Frequency
Adam,15
Afza,1
Albata,2
Aldeen,1
Alla,9
Allah,1
Allan,1
Ameen,1
Ameer,6
America,2
Amir,2
Anasa,2
Aziz,2
Azmat,2
Baddia,1
Badehi,1
Basarat,1
Bukhoor,1
Charmi,1
Faiq,1
Falah,1
Fasih,1
Galian,1
Gustakh,1
Haakim,1
Haal,1
Haalat,1
Haazir,1
Hadayat,2
Haibat,1
Haiseeyat,1
Haqeeqat,1
Haraam,1
Haresh,1
Haseen,1
Haul,1
Hazrat,1
Hifaazat,1
Hikmat,1
Hisaab,1
Hukm,1
Ibrat,1
InshAllah,1
Inshaallah,1
Israel,1
Jalali,1
Kaif,1
Khaira,1
Khairati,1
Khushgawar,3
Manazil,1
Maney,1
Manzoor,1
Maroof,4
MashaAllah,1
Mashaa,1
Mehri,1
Muajzaat,1
Muaziz,1
Muazzam,1
Muhafiz,1
Muhib,2
Mujahid,1
Muntaqim,1
Murtaish,1
Mushfiq,1
Mutee,1
Nemat,1
November,1
Parah,1
Phaddebaaz,1
Qanaat,1
Raft,2
Rehman,1
Rohani,1
Sabqat,2
Sadiq,1
Saleem,1
Sami,1
Saqha,1
Sarahat,1
Sarif,2
Sarih,1
Shahi,1
Shifa,1
Subhanallah,1
Takkar,1
Talqeen,1
Tanashah,1
Tapaknaa,1
TooT,1
Ummeed,1
Waqar,2
Weeta,1
Yafta,3
Zabardust,1
a,302
a.c.o,1
a.o.a,1
a.s,3
a.salam,1
aTak,1
aa,166
aaa,2
aaaa,3
aaaaa,1
aaaaappppp,1
aaaallaaaa,1
aaaallllaaaa,1
aaah,1
aaaiin,1
aaainda,1
aaalam,1
aaalu,1
aaankh,1
aaao,1
aaap,3
aaatma,1
aaaya,2
aab,1
aaba,1
aabaad,1
aabaadi,1
aabaai,2
aabad,4
aabai,2
aabao,1
aabar,1
aabb,1
aabbba,1
aabi,1
aabroz,1
aabru,1
aachay,1
aachi,2
aachuki,1
aad,1
aada,2
aadaa,1
aadaab,2
aadam,3
aadat,3
aadh,1
aadha,3
aadhay,1
aadhi,5
aadi,7
aadil,1
aadmi,17
aadmiyon,1
aadmiyyat,1
aadmy,1
aadu,1
aae,14
aaeen,1
aaega,4
aaegi,5
aaein,1
aaeni,1
aaey,5
aaeyn,2
aafaaq,2
aafaq,1
aafat,2
aafia,13
aafiat,1
aafiyat,3
aafreeni,1
aafrini,1
aaftab,1
aafza,1
aag,28
aaga,2
aagae,2
aagah,3
aagahi,2
aagai,2
aagash,1
aagay,3
aagaya,6
aagaye,2
aagayen,1
aagaz,1
aage,20
aaghaz,35
aaghosh,1
aagly,1
aagrah,2
aagy,3
aagye,1
aah,4
aahang,4
aahata,1
aahhahahaha,1
aahinda,1
aahinkhair,1
aahista,7
aahkoon,2
aahyan,1
aai,29
aaid,2
aaiga,1
aaigi,1
aain,11
aaina,1
aaind,1
aainda,3
aaindah,1
aaini,2
aainni,1
aaisa,1
aaisaa,1
aaiyd,3
aaiye,1
aaiyn,3
aaiyna,1
aaiynda,3
aaiyne,1
aaiyni,1
aaj,166
aaja,2
aajai,1
aajata,2
aajati,1
aajaye,2
aajiz,3
aajzi,4
aak,2
aaka,1
aakank,1
aakar,7
aake,1
aaker,1
aakhar,1
aakhir,21
aakhirat,1
aakhirkar,4
aakhrat,3
aakhri,20
aakri,1
aakrr,1
aal,7
aala,59
aalaa,3
aalaat,1
aalaaw,1
aalah,1
aalam,9
aalam.e.nao,1
aalameen,3
aalamgeer,1
aalamgir,1
