word1-translated	word2-translated	Assoc(USF)
پرانا	نئی	7.25
ہوشیار	ذہین	7.11
سخت	مشکل	5.94
خوش ہوں	خوشگوار	5.85
سخت	آسان	5.82
تیز	تیز رفتار	5.66
خوش ہوں	خوش ہوں	5.49
مختصر	طویل	5.36
بیوقوف	گونگا	5.26
عجیب	عجیب	4.26
وسیع	تنگ	4.06
برا	خوفناک	3.41
آسان	مشکل	2.83
برا	خوفناک	2.31
سخت	سادہ	2.16
ہوشیار	گونگا	2.1
پاگل	پاگل	2.09
خوش ہوں	پاگل	2.07
بڑی	بہت بڑا	2.0
سخت	مشکل	1.99
نئی	تازه	1.98
تیز	سست	1.48
فوری	تیز رفتار	1.38
گونگا	بیوقوف	1.34
حیرت انگیز	خوفناک	1.17
عجیب	طاق	1.16
خوش ہوں	ناراض	1.15
تنگ	وسیع	1.0
سادہ	آسان	0.96
پرانا	تازه	0.91
واضح	واضح 	0.89
سستی	سستا	0.79
اچھا	بے لوث	0.77
عجیب	عام	0.76
عجیب	طاق	0.75
برا	غیر اخلاقی	0.74
اداس	مضحکہ خیز	0.74
حیرت انگیز	زبردست	0.7
مجرم	شرمندہ	0.69
خوبصورت	حیرت انگیز	0.68
اعتماد	یقیناً	0.68
گونگا	گھنے	0.68
بڑی	بڑا	0.68
اچھا	ظالمانہ	0.49
بے حد	فکر مند	0.47
بڑا	وسیع	0.47
مضبوط	مغرور	0.42
غیر ضروری	ضروری 	0.41
بے حد	نوجوان	0.41
گونگا	ذہین	0.37
برا	زبردست	0.35
مشکل	سادہ	0.34
ضروری 	اہم 	0.34
برا	خوفناک	0.28
پاگل	خوش	0.28
ایماندار	مجرم	0.27
آسان	مشکل	0.27
آسان	لچکدار	0.27
کچھ	یقین ہے	0.23
ضروری	ضروری	0.21
مختلف	عام	0.21
مہلک	ہوشیار	0.21
اہم	اہم	0.21
سخت	ظالمانہ	0.21
بچپن	بیوقوف	0.21
کمر	نایاب	0.21
دوستانہ	بے لوث	0.21
خراب	فریب	0.21
طویل	تنگ	0.21
بڑا	بھاری	0.21
کهردرا	فریب	0.21
عجیب	عجیب	0.2
غیر قانونی	غیر اخلاقی	0.2
برا	مجرم	0.2
