Timestamp: 16 Apr 2021 , 11:28:07 PM  Avg. characters per second: 8.23  Time Taken: 1.09 s  characters: 9  line: 0
Timestamp: 16 Apr 2021 , 11:28:09 PM  Avg. characters per second: 6.11  Time Taken: 1.15 s  characters: 7  line: 1
Timestamp: 16 Apr 2021 , 11:28:10 PM  Avg. characters per second: 4.75  Time Taken: 1.05 s  characters: 5  line: 2
Timestamp: 16 Apr 2021 , 11:28:11 PM  Avg. characters per second: 5.20  Time Taken: 1.15 s  characters: 6  line: 3
Timestamp: 16 Apr 2021 , 11:28:12 PM  Avg. characters per second: 8.65  Time Taken: 1.04 s  characters: 9  line: 5
Timestamp: 16 Apr 2021 , 11:28:13 PM  Avg. characters per second: 7.12  Time Taken: 1.12 s  characters: 8  line: 6
Timestamp: 16 Apr 2021 , 11:28:14 PM  Avg. characters per second: 5.49  Time Taken: 1.28 s  characters: 7  line: 7
Timestamp: 16 Apr 2021 , 11:28:17 PM  Avg. characters per second: 2.90  Time Taken: 2.42 s  characters: 7  line: 8
Timestamp: 16 Apr 2021 , 11:28:18 PM  Avg. characters per second: 5.93  Time Taken: 1.18 s  characters: 7  line: 9
Timestamp: 16 Apr 2021 , 11:28:19 PM  Avg. characters per second: 6.32  Time Taken: 1.42 s  characters: 9  line: 10
Timestamp: 16 Apr 2021 , 11:28:21 PM  Avg. characters per second: 6.65  Time Taken: 1.35 s  characters: 9  line: 12
Timestamp: 16 Apr 2021 , 11:28:22 PM  Avg. characters per second: 1.88  Time Taken: 1.07 s  characters: 2  line: 13
Timestamp: 16 Apr 2021 , 11:28:23 PM  Avg. characters per second: 5.37  Time Taken: 1.12 s  characters: 6  line: 14
Timestamp: 16 Apr 2021 , 11:28:24 PM  Avg. characters per second: 2.91  Time Taken: 1.37 s  characters: 4  line: 15
Timestamp: 16 Apr 2021 , 11:28:25 PM  Avg. characters per second: 8.61  Time Taken: 1.05 s  characters: 9  line: 17
Timestamp: 16 Apr 2021 , 11:28:26 PM  Avg. characters per second: 4.73  Time Taken: 1.06 s  characters: 5  line: 18
Timestamp: 16 Apr 2021 , 11:28:28 PM  Avg. characters per second: 4.74  Time Taken: 1.48 s  characters: 7  line: 19
