Timestamp: 27 May 2021 , 12:41:02 PM  Avg. characters per second: 94.22  Time Taken: 1.50 s  characters: 141  line: 0
Timestamp: 27 May 2021 , 12:41:04 PM  Avg. characters per second: 35.51  Time Taken: 2.08 s  characters: 74  line: 1
Timestamp: 27 May 2021 , 12:41:06 PM  Avg. characters per second: 45.28  Time Taken: 2.27 s  characters: 103  line: 2
Timestamp: 27 May 2021 , 12:41:08 PM  Avg. characters per second: 90.87  Time Taken: 2.02 s  characters: 184  line: 3
Timestamp: 27 May 2021 , 12:41:10 PM  Avg. characters per second: 171.16  Time Taken: 2.46 s  characters: 421  line: 4
Timestamp: 27 May 2021 , 12:41:13 PM  Avg. characters per second: 103.37  Time Taken: 2.19 s  characters: 226  line: 5
Timestamp: 27 May 2021 , 12:41:16 PM  Avg. characters per second: 30.15  Time Taken: 3.91 s  characters: 118  line: 6
Timestamp: 27 May 2021 , 12:41:21 PM  Avg. characters per second: 93.21  Time Taken: 4.33 s  characters: 404  line: 7
Timestamp: 27 May 2021 , 12:41:22 PM  Avg. characters per second: 58.05  Time Taken: 1.12 s  characters: 65  line: 8
Timestamp: 27 May 2021 , 12:41:23 PM  Avg. characters per second: 97.62  Time Taken: 1.24 s  characters: 121  line: 9
Timestamp: 27 May 2021 , 12:41:27 PM  Avg. characters per second: 47.20  Time Taken: 3.37 s  characters: 159  line: 10
Timestamp: 27 May 2021 , 12:41:28 PM  Avg. characters per second: 45.19  Time Taken: 1.13 s  characters: 51  line: 11
Timestamp: 27 May 2021 , 12:41:29 PM  Avg. characters per second: 39.26  Time Taken: 1.10 s  characters: 43  line: 12
Timestamp: 27 May 2021 , 12:41:30 PM  Avg. characters per second: 38.58  Time Taken: 1.24 s  characters: 48  line: 13
Timestamp: 27 May 2021 , 12:41:31 PM  Avg. characters per second: 31.24  Time Taken: 1.15 s  characters: 36  line: 14
Timestamp: 27 May 2021 , 12:41:32 PM  Avg. characters per second: 130.81  Time Taken: 1.09 s  characters: 143  line: 15
Timestamp: 27 May 2021 , 12:41:33 PM  Avg. characters per second: 33.61  Time Taken: 1.25 s  characters: 42  line: 16
Timestamp: 27 May 2021 , 12:41:35 PM  Avg. characters per second: 62.47  Time Taken: 1.15 s  characters: 72  line: 17
Timestamp: 27 May 2021 , 12:41:37 PM  Avg. characters per second: 24.50  Time Taken: 2.49 s  characters: 61  line: 18
Timestamp: 27 May 2021 , 12:41:39 PM  Avg. characters per second: 38.09  Time Taken: 2.15 s  characters: 82  line: 19
Timestamp: 27 May 2021 , 12:41:42 PM  Avg. characters per second: 35.27  Time Taken: 2.55 s  characters: 90  line: 20
Timestamp: 27 May 2021 , 12:41:46 PM  Avg. characters per second: 38.44  Time Taken: 3.98 s  characters: 153  line: 21
Timestamp: 27 May 2021 , 12:41:49 PM  Avg. characters per second: 12.17  Time Taken: 2.71 s  characters: 33  line: 22
Timestamp: 27 May 2021 , 12:41:52 PM  Avg. characters per second: 10.49  Time Taken: 3.14 s  characters: 33  line: 23
Timestamp: 27 May 2021 , 12:41:57 PM  Avg. characters per second: 39.13  Time Taken: 5.65 s  characters: 221  line: 24
Timestamp: 27 May 2021 , 12:42:05 PM  Avg. characters per second: 35.43  Time Taken: 7.68 s  characters: 272  line: 25
Timestamp: 27 May 2021 , 12:42:11 PM  Avg. characters per second: 8.47  Time Taken: 5.90 s  characters: 50  line: 26
Timestamp: 27 May 2021 , 12:42:18 PM  Avg. characters per second: 20.91  Time Taken: 7.46 s  characters: 156  line: 27
Timestamp: 27 May 2021 , 12:42:28 PM  Avg. characters per second: 12.96  Time Taken: 10.03 s  characters: 130  line: 28
Timestamp: 27 May 2021 , 12:42:39 PM  Avg. characters per second: 19.51  Time Taken: 10.45 s  characters: 204  line: 29
Timestamp: 27 May 2021 , 12:43:34 PM  Avg. characters per second: 29.85  Time Taken: 15.48 s  characters: 462  line: 30
Timestamp: 27 May 2021 , 12:43:37 PM  Avg. characters per second: 17.50  Time Taken: 3.49 s  characters: 61  line: 31
Timestamp: 27 May 2021 , 12:43:45 PM  Avg. characters per second: 15.02  Time Taken: 7.19 s  characters: 108  line: 32
Timestamp: 27 May 2021 , 12:43:49 PM  Avg. characters per second: 16.56  Time Taken: 4.35 s  characters: 72  line: 33
Timestamp: 27 May 2021 , 12:43:56 PM  Avg. characters per second: 8.42  Time Taken: 6.65 s  characters: 56  line: 34
Timestamp: 27 May 2021 , 12:43:58 PM  Avg. characters per second: 37.01  Time Taken: 2.51 s  characters: 93  line: 35
Timestamp: 27 May 2021 , 12:44:01 PM  Avg. characters per second: 32.77  Time Taken: 3.33 s  characters: 109  line: 36
Timestamp: 27 May 2021 , 12:44:04 PM  Avg. characters per second: 33.71  Time Taken: 3.00 s  characters: 101  line: 37
Timestamp: 27 May 2021 , 12:44:09 PM  Avg. characters per second: 31.21  Time Taken: 4.17 s  characters: 130  line: 38
Timestamp: 27 May 2021 , 12:44:21 PM  Avg. characters per second: 18.60  Time Taken: 12.15 s  characters: 226  line: 39
Timestamp: 27 May 2021 , 12:45:00 PM  Avg. characters per second: 32.44  Time Taken: 4.29 s  characters: 139  line: 40
Timestamp: 27 May 2021 , 12:45:05 PM  Avg. characters per second: 25.88  Time Taken: 4.95 s  characters: 128  line: 41
Timestamp: 27 May 2021 , 12:45:11 PM  Avg. characters per second: 23.03  Time Taken: 5.99 s  characters: 138  line: 42
Timestamp: 27 May 2021 , 12:45:17 PM  Avg. characters per second: 22.74  Time Taken: 5.76 s  characters: 131  line: 43
Timestamp: 27 May 2021 , 12:45:28 PM  Avg. characters per second: 11.89  Time Taken: 11.36 s  characters: 135  line: 44
Timestamp: 27 May 2021 , 12:45:36 PM  Avg. characters per second: 13.71  Time Taken: 7.15 s  characters: 98  line: 45
Timestamp: 27 May 2021 , 12:45:40 PM  Avg. characters per second: 27.08  Time Taken: 4.58 s  characters: 124  line: 46
Timestamp: 27 May 2021 , 12:45:42 PM  Avg. characters per second: 67.09  Time Taken: 1.79 s  characters: 120  line: 47
Timestamp: 27 May 2021 , 12:45:44 PM  Avg. characters per second: 39.07  Time Taken: 2.41 s  characters: 94  line: 48
Timestamp: 27 May 2021 , 12:45:46 PM  Avg. characters per second: 43.85  Time Taken: 1.57 s  characters: 69  line: 49
Timestamp: 27 May 2021 , 12:45:48 PM  Avg. characters per second: 77.87  Time Taken: 1.72 s  characters: 134  line: 50
Timestamp: 27 May 2021 , 12:45:53 PM  Avg. characters per second: 21.80  Time Taken: 5.46 s  characters: 119  line: 51
Timestamp: 27 May 2021 , 12:45:55 PM  Avg. characters per second: 13.51  Time Taken: 1.48 s  characters: 20  line: 52
Timestamp: 27 May 2021 , 12:45:56 PM  Avg. characters per second: 94.32  Time Taken: 1.51 s  characters: 142  line: 53
Timestamp: 27 May 2021 , 12:45:57 PM  Avg. characters per second: 95.33  Time Taken: 1.15 s  characters: 110  line: 54
Timestamp: 27 May 2021 , 12:46:02 PM  Avg. characters per second: 20.52  Time Taken: 4.97 s  characters: 102  line: 55
Timestamp: 27 May 2021 , 12:46:03 PM  Avg. characters per second: 104.49  Time Taken: 1.03 s  characters: 108  line: 56
Timestamp: 27 May 2021 , 12:46:05 PM  Avg. characters per second: 83.57  Time Taken: 1.42 s  characters: 119  line: 57
Timestamp: 27 May 2021 , 12:46:06 PM  Avg. characters per second: 62.56  Time Taken: 0.96 s  characters: 60  line: 58
