Avg. Time: 34.58 s  Time Taken: 34.58 s  Words: 230  line: 1
Avg. Time: 18.13 s  Time Taken: 1.68 s  Words: 69  line: 2
Avg. Time: 13.88 s  Time Taken: 5.39 s  Words: 108  line: 3
Avg. Time: 11.07 s  Time Taken: 2.61 s  Words: 89  line: 4
Avg. Time: 9.83 s  Time Taken: 4.90 s  Words: 181  line: 5
Avg. Time: 9.16 s  Time Taken: 5.81 s  Words: 126  line: 6
Avg. Time: 9.39 s  Time Taken: 10.72 s  Words: 211  line: 7
Avg. Time: 8.52 s  Time Taken: 2.43 s  Words: 106  line: 8
Avg. Time: 9.02 s  Time Taken: 13.05 s  Words: 240  line: 9
Avg. Time: 8.44 s  Time Taken: 3.25 s  Words: 219  line: 10
Avg. Time: 7.90 s  Time Taken: 2.46 s  Words: 67  line: 11
Avg. Time: 7.82 s  Time Taken: 6.97 s  Words: 187  line: 12
Avg. Time: 7.93 s  Time Taken: 9.24 s  Words: 272  line: 13
Avg. Time: 7.64 s  Time Taken: 3.86 s  Words: 104  line: 14
Avg. Time: 7.60 s  Time Taken: 7.01 s  Words: 81  line: 15
Avg. Time: 7.28 s  Time Taken: 2.56 s  Words: 141  line: 16
Avg. Time: 6.97 s  Time Taken: 1.94 s  Words: 119  line: 17
Avg. Time: 6.80 s  Time Taken: 3.87 s  Words: 115  line: 18
Avg. Time: 6.91 s  Time Taken: 8.97 s  Words: 244  line: 19
Avg. Time: 6.67 s  Time Taken: 2.05 s  Words: 190  line: 20
Avg. Time: 6.53 s  Time Taken: 3.68 s  Words: 170  line: 21
Avg. Time: 6.90 s  Time Taken: 14.75 s  Words: 200  line: 22
Avg. Time: 7.22 s  Time Taken: 14.18 s  Words: 84  line: 23
Avg. Time: 6.99 s  Time Taken: 1.89 s  Words: 101  line: 24
Avg. Time: 6.86 s  Time Taken: 3.63 s  Words: 145  line: 25
Avg. Time: 14.70 s  Time Taken: 210.71 s  Words: 179  line: 26
Avg. Time: 14.69 s  Time Taken: 14.35 s  Words: 89  line: 27
Avg. Time: 14.33 s  Time Taken: 4.75 s  Words: 127  line: 28
Avg. Time: 13.99 s  Time Taken: 4.50 s  Words: 157  line: 29
Avg. Time: 13.59 s  Time Taken: 2.04 s  Words: 146  line: 30
Avg. Time: 13.27 s  Time Taken: 3.57 s  Words: 132  line: 31
Avg. Time: 12.95 s  Time Taken: 3.13 s  Words: 118  line: 32
Avg. Time: 12.64 s  Time Taken: 2.63 s  Words: 89  line: 33
Avg. Time: 12.36 s  Time Taken: 2.96 s  Words: 227  line: 34
Avg. Time: 12.06 s  Time Taken: 1.85 s  Words: 97  line: 35
Avg. Time: 11.79 s  Time Taken: 2.37 s  Words: 145  line: 36
Avg. Time: 11.54 s  Time Taken: 2.76 s  Words: 162  line: 37
Avg. Time: 11.30 s  Time Taken: 2.13 s  Words: 122  line: 38
Avg. Time: 11.13 s  Time Taken: 4.86 s  Words: 108  line: 39
Avg. Time: 10.89 s  Time Taken: 1.47 s  Words: 73  line: 40
Avg. Time: 10.70 s  Time Taken: 3.22 s  Words: 109  line: 41
Avg. Time: 10.49 s  Time Taken: 1.91 s  Words: 92  line: 42
Avg. Time: 10.28 s  Time Taken: 1.41 s  Words: 52  line: 43
Avg. Time: 10.10 s  Time Taken: 2.31 s  Words: 180  line: 44
Avg. Time: 9.96 s  Time Taken: 3.60 s  Words: 76  line: 45
Avg. Time: 9.85 s  Time Taken: 4.92 s  Words: 89  line: 46
Avg. Time: 9.69 s  Time Taken: 2.24 s  Words: 65  line: 47
Avg. Time: 9.54 s  Time Taken: 2.82 s  Words: 149  line: 48
Avg. Time: 9.46 s  Time Taken: 5.65 s  Words: 193  line: 49
Avg. Time: 9.32 s  Time Taken: 2.46 s  Words: 198  line: 50
Avg. Time: 9.20 s  Time Taken: 2.84 s  Words: 106  line: 51
Avg. Time: 9.08 s  Time Taken: 3.03 s  Words: 74  line: 52
Avg. Time: 8.94 s  Time Taken: 1.66 s  Words: 74  line: 53
Avg. Time: 8.85 s  Time Taken: 4.29 s  Words: 244  line: 54
Avg. Time: 8.73 s  Time Taken: 2.09 s  Words: 112  line: 55
Avg. Time: 8.72 s  Time Taken: 8.39 s  Words: 143  line: 56
Avg. Time: 8.65 s  Time Taken: 4.66 s  Words: 257  line: 57
Avg. Time: 8.54 s  Time Taken: 2.06 s  Words: 161  line: 58
Avg. Time: 8.44 s  Time Taken: 2.68 s  Words: 120  line: 59
Avg. Time: 8.33 s  Time Taken: 1.97 s  Words: 37  line: 60
Avg. Time: 8.31 s  Time Taken: 6.82 s  Words: 105  line: 61
Avg. Time: 8.30 s  Time Taken: 8.17 s  Words: 180  line: 62
Avg. Time: 8.21 s  Time Taken: 2.61 s  Words: 110  line: 63
Avg. Time: 8.14 s  Time Taken: 3.79 s  Words: 58  line: 64
Avg. Time: 8.15 s  Time Taken: 8.57 s  Words: 169  line: 65
Avg. Time: 8.07 s  Time Taken: 2.78 s  Words: 79  line: 66
Avg. Time: 7.99 s  Time Taken: 2.67 s  Words: 53  line: 67
Avg. Time: 7.91 s  Time Taken: 2.41 s  Words: 157  line: 68
Avg. Time: 7.82 s  Time Taken: 2.25 s  Words: 88  line: 69
Avg. Time: 7.83 s  Time Taken: 8.36 s  Words: 216  line: 70
Avg. Time: 7.76 s  Time Taken: 2.62 s  Words: 131  line: 71
Avg. Time: 7.74 s  Time Taken: 6.54 s  Words: 178  line: 72
Avg. Time: 7.66 s  Time Taken: 2.14 s  Words: 100  line: 73
Avg. Time: 7.59 s  Time Taken: 2.13 s  Words: 57  line: 74
Avg. Time: 7.52 s  Time Taken: 2.08 s  Words: 82  line: 75
Avg. Time: 7.45 s  Time Taken: 2.13 s  Words: 94  line: 76
Avg. Time: 7.41 s  Time Taken: 4.91 s  Words: 149  line: 77
Avg. Time: 7.34 s  Time Taken: 2.08 s  Words: 107  line: 78
Avg. Time: 7.34 s  Time Taken: 7.17 s  Words: 163  line: 79
Avg. Time: 7.31 s  Time Taken: 4.61 s  Words: 154  line: 80
Avg. Time: 7.24 s  Time Taken: 1.68 s  Words: 88  line: 81
Avg. Time: 7.18 s  Time Taken: 2.17 s  Words: 146  line: 82
Avg. Time: 7.30 s  Time Taken: 17.42 s  Words: 176  line: 83
Avg. Time: 7.32 s  Time Taken: 8.70 s  Words: 192  line: 84
Avg. Time: 7.28 s  Time Taken: 4.53 s  Words: 260  line: 85
Avg. Time: 7.36 s  Time Taken: 13.76 s  Words: 307  line: 86
Avg. Time: 7.32 s  Time Taken: 4.14 s  Words: 197  line: 87
Avg. Time: 7.32 s  Time Taken: 6.95 s  Words: 137  line: 88
Avg. Time: 7.27 s  Time Taken: 2.96 s  Words: 113  line: 89
Avg. Time: 7.28 s  Time Taken: 8.03 s  Words: 72  line: 90
Avg. Time: 7.23 s  Time Taken: 3.09 s  Words: 156  line: 91
Avg. Time: 7.19 s  Time Taken: 3.67 s  Words: 146  line: 92
Avg. Time: 7.15 s  Time Taken: 3.50 s  Words: 162  line: 93
Avg. Time: 7.19 s  Time Taken: 10.54 s  Words: 167  line: 94
Avg. Time: 7.13 s  Time Taken: 1.68 s  Words: 68  line: 95
Avg. Time: 7.09 s  Time Taken: 3.05 s  Words: 119  line: 96
Avg. Time: 7.05 s  Time Taken: 3.18 s  Words: 60  line: 97
Avg. Time: 7.03 s  Time Taken: 5.73 s  Words: 99  line: 98
Avg. Time: 6.99 s  Time Taken: 2.50 s  Words: 140  line: 99
Avg. Time: 6.94 s  Time Taken: 1.94 s  Words: 81  line: 100
Avg. Time: 6.91 s  Time Taken: 4.45 s  Words: 74  line: 101
Avg. Time: 6.90 s  Time Taken: 5.61 s  Words: 126  line: 102
Avg. Time: 6.87 s  Time Taken: 4.00 s  Words: 170  line: 103
Avg. Time: 6.82 s  Time Taken: 1.74 s  Words: 73  line: 104
Avg. Time: 6.78 s  Time Taken: 1.88 s  Words: 110  line: 105
Avg. Time: 6.76 s  Time Taken: 4.56 s  Words: 150  line: 106
Avg. Time: 6.71 s  Time Taken: 1.85 s  Words: 90  line: 107
Avg. Time: 6.66 s  Time Taken: 1.85 s  Words: 65  line: 108
Avg. Time: 6.63 s  Time Taken: 2.67 s  Words: 83  line: 109
Avg. Time: 6.60 s  Time Taken: 3.54 s  Words: 117  line: 110
Avg. Time: 6.63 s  Time Taken: 9.50 s  Words: 159  line: 111
Avg. Time: 6.59 s  Time Taken: 2.07 s  Words: 65  line: 112
Avg. Time: 6.55 s  Time Taken: 2.68 s  Words: 69  line: 113
Avg. Time: 6.52 s  Time Taken: 2.76 s  Words: 111  line: 114
Avg. Time: 6.49 s  Time Taken: 3.82 s  Words: 157  line: 115
Avg. Time: 6.45 s  Time Taken: 1.66 s  Words: 113  line: 116
Avg. Time: 6.42 s  Time Taken: 2.52 s  Words: 108  line: 117
Avg. Time: 6.42 s  Time Taken: 6.08 s  Words: 148  line: 118
Avg. Time: 6.39 s  Time Taken: 3.44 s  Words: 78  line: 119
Avg. Time: 6.36 s  Time Taken: 2.40 s  Words: 128  line: 120
Avg. Time: 6.32 s  Time Taken: 1.87 s  Words: 100  line: 121
Avg. Time: 6.28 s  Time Taken: 1.95 s  Words: 178  line: 122
Avg. Time: 6.26 s  Time Taken: 2.87 s  Words: 158  line: 123
Avg. Time: 6.23 s  Time Taken: 2.46 s  Words: 71  line: 124
Avg. Time: 6.20 s  Time Taken: 2.85 s  Words: 165  line: 125
Avg. Time: 6.19 s  Time Taken: 4.59 s  Words: 164  line: 126
Avg. Time: 6.18 s  Time Taken: 5.54 s  Words: 144  line: 127
Avg. Time: 6.15 s  Time Taken: 2.51 s  Words: 107  line: 128
Avg. Time: 6.12 s  Time Taken: 1.99 s  Words: 78  line: 129
Avg. Time: 6.13 s  Time Taken: 7.57 s  Words: 223  line: 130
Avg. Time: 6.11 s  Time Taken: 3.50 s  Words: 108  line: 131
Avg. Time: 6.10 s  Time Taken: 4.72 s  Words: 63  line: 132
Avg. Time: 6.09 s  Time Taken: 4.02 s  Words: 203  line: 133
Avg. Time: 6.05 s  Time Taken: 1.86 s  Words: 106  line: 134
Avg. Time: 6.04 s  Time Taken: 3.61 s  Words: 118  line: 135
Avg. Time: 6.00 s  Time Taken: 1.40 s  Words: 70  line: 136
Avg. Time: 5.97 s  Time Taken: 1.94 s  Words: 63  line: 137
Avg. Time: 5.94 s  Time Taken: 1.61 s  Words: 73  line: 138
Avg. Time: 5.95 s  Time Taken: 7.45 s  Words: 134  line: 139
Avg. Time: 5.93 s  Time Taken: 3.59 s  Words: 98  line: 140
Avg. Time: 5.91 s  Time Taken: 2.01 s  Words: 102  line: 141
Avg. Time: 5.88 s  Time Taken: 2.18 s  Words: 128  line: 142
Avg. Time: 5.86 s  Time Taken: 2.52 s  Words: 65  line: 143
Avg. Time: 5.83 s  Time Taken: 2.13 s  Words: 116  line: 144
Avg. Time: 5.82 s  Time Taken: 3.87 s  Words: 138  line: 145
Avg. Time: 5.79 s  Time Taken: 2.23 s  Words: 169  line: 146
Avg. Time: 5.78 s  Time Taken: 3.68 s  Words: 107  line: 147
Avg. Time: 5.75 s  Time Taken: 1.48 s  Words: 55  line: 148
Avg. Time: 5.75 s  Time Taken: 5.20 s  Words: 162  line: 149
Avg. Time: 5.74 s  Time Taken: 4.54 s  Words: 190  line: 150
Avg. Time: 5.71 s  Time Taken: 2.26 s  Words: 162  line: 151
Avg. Time: 5.69 s  Time Taken: 2.23 s  Words: 159  line: 152
Avg. Time: 5.67 s  Time Taken: 2.07 s  Words: 154  line: 153
Avg. Time: 5.64 s  Time Taken: 1.83 s  Words: 67  line: 154
Avg. Time: 5.62 s  Time Taken: 1.57 s  Words: 72  line: 155
Avg. Time: 5.59 s  Time Taken: 2.12 s  Words: 159  line: 156
Avg. Time: 5.57 s  Time Taken: 1.75 s  Words: 94  line: 157
Avg. Time: 5.55 s  Time Taken: 2.15 s  Words: 80  line: 158
Avg. Time: 5.54 s  Time Taken: 4.65 s  Words: 66  line: 159
Avg. Time: 5.55 s  Time Taken: 6.97 s  Words: 160  line: 160
Avg. Time: 5.53 s  Time Taken: 1.92 s  Words: 104  line: 161
Avg. Time: 5.52 s  Time Taken: 4.54 s  Words: 157  line: 162
Avg. Time: 5.52 s  Time Taken: 5.27 s  Words: 128  line: 163
Avg. Time: 5.50 s  Time Taken: 2.11 s  Words: 109  line: 164
Avg. Time: 5.48 s  Time Taken: 2.01 s  Words: 81  line: 165
Avg. Time: 5.46 s  Time Taken: 2.04 s  Words: 69  line: 166
Avg. Time: 5.44 s  Time Taken: 1.90 s  Words: 80  line: 167
Avg. Time: 5.42 s  Time Taken: 2.67 s  Words: 92  line: 168
Avg. Time: 5.44 s  Time Taken: 8.91 s  Words: 134  line: 169
Avg. Time: 5.44 s  Time Taken: 4.53 s  Words: 193  line: 170
Avg. Time: 5.42 s  Time Taken: 3.25 s  Words: 94  line: 171
Avg. Time: 5.41 s  Time Taken: 2.43 s  Words: 56  line: 172
Avg. Time: 5.45 s  Time Taken: 12.69 s  Words: 187  line: 173
Avg. Time: 5.48 s  Time Taken: 11.49 s  Words: 252  line: 174
Avg. Time: 5.48 s  Time Taken: 4.83 s  Words: 120  line: 175
Avg. Time: 5.49 s  Time Taken: 6.88 s  Words: 167  line: 176
Avg. Time: 5.47 s  Time Taken: 1.57 s  Words: 138  line: 177
Avg. Time: 5.45 s  Time Taken: 3.05 s  Words: 93  line: 178
Avg. Time: 5.44 s  Time Taken: 3.98 s  Words: 91  line: 179
Avg. Time: 5.45 s  Time Taken: 7.35 s  Words: 164  line: 180
Avg. Time: 5.47 s  Time Taken: 7.96 s  Words: 124  line: 181
Avg. Time: 5.49 s  Time Taken: 9.03 s  Words: 142  line: 182
Avg. Time: 5.52 s  Time Taken: 11.93 s  Words: 177  line: 183
Avg. Time: 5.50 s  Time Taken: 1.85 s  Words: 109  line: 184
Avg. Time: 5.48 s  Time Taken: 1.79 s  Words: 73  line: 185
Avg. Time: 5.49 s  Time Taken: 6.35 s  Words: 67  line: 186
Avg. Time: 5.47 s  Time Taken: 1.60 s  Words: 50  line: 187
Avg. Time: 5.47 s  Time Taken: 6.36 s  Words: 213  line: 188
Avg. Time: 5.48 s  Time Taken: 7.47 s  Words: 181  line: 189
Avg. Time: 5.48 s  Time Taken: 4.68 s  Words: 126  line: 190
Avg. Time: 5.47 s  Time Taken: 3.41 s  Words: 91  line: 191
Avg. Time: 5.48 s  Time Taken: 8.07 s  Words: 105  line: 192
Avg. Time: 5.46 s  Time Taken: 2.19 s  Words: 97  line: 193
Avg. Time: 5.45 s  Time Taken: 2.74 s  Words: 73  line: 194
Avg. Time: 5.43 s  Time Taken: 2.19 s  Words: 75  line: 195
Avg. Time: 5.42 s  Time Taken: 3.07 s  Words: 64  line: 196
Avg. Time: 5.41 s  Time Taken: 2.51 s  Words: 25  line: 197
Avg. Time: 5.39 s  Time Taken: 1.57 s  Words: 26  line: 198
Avg. Time: 5.37 s  Time Taken: 1.96 s  Words: 51  line: 199
Avg. Time: 5.35 s  Time Taken: 1.71 s  Words: 86  line: 200
Avg. Time: 5.33 s  Time Taken: 2.14 s  Words: 47  line: 201
Avg. Time: 5.32 s  Time Taken: 3.22 s  Words: 96  line: 202
Avg. Time: 5.31 s  Time Taken: 1.64 s  Words: 43  line: 203
Avg. Time: 5.30 s  Time Taken: 4.04 s  Words: 136  line: 204
Avg. Time: 5.29 s  Time Taken: 2.25 s  Words: 64  line: 205
Avg. Time: 5.28 s  Time Taken: 4.71 s  Words: 58  line: 206
Avg. Time: 5.27 s  Time Taken: 3.36 s  Words: 27  line: 207
Avg. Time: 5.26 s  Time Taken: 1.95 s  Words: 53  line: 208
Avg. Time: 5.25 s  Time Taken: 3.97 s  Words: 77  line: 209
Avg. Time: 5.27 s  Time Taken: 10.03 s  Words: 64  line: 210
Avg. Time: 5.26 s  Time Taken: 2.25 s  Words: 39  line: 211
Avg. Time: 5.24 s  Time Taken: 2.20 s  Words: 56  line: 212
Avg. Time: 5.23 s  Time Taken: 1.83 s  Words: 64  line: 213
Avg. Time: 5.21 s  Time Taken: 1.32 s  Words: 24  line: 214
Avg. Time: 5.19 s  Time Taken: 1.37 s  Words: 11  line: 215
Avg. Time: 5.18 s  Time Taken: 1.77 s  Words: 61  line: 216
Avg. Time: 5.16 s  Time Taken: 1.36 s  Words: 24  line: 217
Avg. Time: 5.14 s  Time Taken: 1.52 s  Words: 26  line: 218
Avg. Time: 5.13 s  Time Taken: 1.59 s  Words: 39  line: 219
Avg. Time: 5.11 s  Time Taken: 1.38 s  Words: 29  line: 220
Avg. Time: 5.09 s  Time Taken: 1.70 s  Words: 40  line: 221
Avg. Time: 5.08 s  Time Taken: 2.56 s  Words: 167  line: 222
