Timestamp: 12 Mar 2021 , 12:01:17 AM  Avg. characters per second: 12.34  Time Taken: 3.65 s  characters: 45  line: 0
Timestamp: 12 Mar 2021 , 12:01:25 AM  Avg. characters per second: 101.54  Time Taken: 8.42 s  characters: 855  line: 1
Timestamp: 12 Mar 2021 , 12:01:31 AM  Avg. characters per second: 140.83  Time Taken: 6.14 s  characters: 864  line: 2
Timestamp: 12 Mar 2021 , 12:01:35 AM  Avg. characters per second: 57.04  Time Taken: 3.37 s  characters: 192  line: 3
Timestamp: 12 Mar 2021 , 12:01:42 AM  Avg. characters per second: 72.66  Time Taken: 6.98 s  characters: 507  line: 4
Timestamp: 12 Mar 2021 , 12:01:51 AM  Avg. characters per second: 68.83  Time Taken: 9.44 s  characters: 650  line: 5
Timestamp: 12 Mar 2021 , 12:02:03 AM  Avg. characters per second: 125.09  Time Taken: 12.09 s  characters: 1512  line: 6
Timestamp: 12 Mar 2021 , 12:02:13 AM  Avg. characters per second: 96.74  Time Taken: 10.39 s  characters: 1005  line: 7
Timestamp: 12 Mar 2021 , 12:02:24 AM  Avg. characters per second: 111.15  Time Taken: 11.01 s  characters: 1224  line: 8
Timestamp: 12 Mar 2021 , 12:02:36 AM  Avg. characters per second: 133.23  Time Taken: 11.21 s  characters: 1493  line: 9
Timestamp: 12 Mar 2021 , 12:02:42 AM  Avg. characters per second: 99.88  Time Taken: 5.86 s  characters: 585  line: 10
Timestamp: 12 Mar 2021 , 12:02:47 AM  Avg. characters per second: 99.72  Time Taken: 5.45 s  characters: 543  line: 11
Timestamp: 12 Mar 2021 , 12:02:52 AM  Avg. characters per second: 154.96  Time Taken: 4.65 s  characters: 721  line: 12
Timestamp: 12 Mar 2021 , 12:02:58 AM  Avg. characters per second: 117.54  Time Taken: 5.92 s  characters: 696  line: 13
Timestamp: 12 Mar 2021 , 12:03:04 AM  Avg. characters per second: 115.98  Time Taken: 6.16 s  characters: 714  line: 14
Timestamp: 12 Mar 2021 , 12:03:13 AM  Avg. characters per second: 137.39  Time Taken: 8.89 s  characters: 1221  line: 15
Timestamp: 12 Mar 2021 , 12:03:24 AM  Avg. characters per second: 107.67  Time Taken: 11.04 s  characters: 1189  line: 16
Timestamp: 12 Mar 2021 , 12:03:29 AM  Avg. characters per second: 143.88  Time Taken: 5.39 s  characters: 776  line: 17
Timestamp: 12 Mar 2021 , 12:03:34 AM  Avg. characters per second: 143.43  Time Taken: 5.10 s  characters: 732  line: 18
Timestamp: 12 Mar 2021 , 12:03:44 AM  Avg. characters per second: 107.70  Time Taken: 10.32 s  characters: 1111  line: 19
Timestamp: 12 Mar 2021 , 12:04:03 AM  Avg. characters per second: 35.62  Time Taken: 18.64 s  characters: 664  line: 20
Timestamp: 12 Mar 2021 , 12:04:44 AM  Avg. characters per second: 30.91  Time Taken: 40.41 s  characters: 1249  line: 21
Timestamp: 12 Mar 2021 , 12:06:32 AM  Avg. characters per second: 11.63  Time Taken: 108.72 s  characters: 1264  line: 22
Timestamp: 12 Mar 2021 , 12:08:45 AM  Avg. characters per second: 4.27  Time Taken: 132.88 s  characters: 567  line: 23
Timestamp: 12 Mar 2021 , 12:09:28 AM  Avg. characters per second: 15.48  Time Taken: 42.75 s  characters: 662  line: 24
Timestamp: 12 Mar 2021 , 12:11:05 AM  Avg. characters per second: 7.32  Time Taken: 97.27 s  characters: 712  line: 25
Timestamp: 12 Mar 2021 , 12:11:51 AM  Avg. characters per second: 14.83  Time Taken: 46.18 s  characters: 685  line: 26
Timestamp: 12 Mar 2021 , 12:12:04 AM  Avg. characters per second: 42.00  Time Taken: 12.74 s  characters: 535  line: 27
Timestamp: 12 Mar 2021 , 12:12:09 AM  Avg. characters per second: 118.46  Time Taken: 5.21 s  characters: 617  line: 28
Timestamp: 12 Mar 2021 , 12:12:16 AM  Avg. characters per second: 110.08  Time Taken: 6.84 s  characters: 753  line: 29
Timestamp: 12 Mar 2021 , 12:12:21 AM  Avg. characters per second: 145.48  Time Taken: 5.18 s  characters: 754  line: 30
Timestamp: 12 Mar 2021 , 12:12:29 AM  Avg. characters per second: 71.32  Time Taken: 8.17 s  characters: 583  line: 31
Timestamp: 12 Mar 2021 , 12:12:35 AM  Avg. characters per second: 104.76  Time Taken: 5.99 s  characters: 627  line: 32
Timestamp: 12 Mar 2021 , 12:12:53 AM  Avg. characters per second: 32.29  Time Taken: 17.68 s  characters: 571  line: 33
Timestamp: 12 Mar 2021 , 12:13:12 AM  Avg. characters per second: 43.75  Time Taken: 18.40 s  characters: 805  line: 34
Timestamp: 12 Mar 2021 , 12:13:27 AM  Avg. characters per second: 36.64  Time Taken: 15.39 s  characters: 564  line: 35
Timestamp: 12 Mar 2021 , 12:13:38 AM  Avg. characters per second: 60.42  Time Taken: 11.02 s  characters: 666  line: 36
Timestamp: 12 Mar 2021 , 12:13:47 AM  Avg. characters per second: 93.51  Time Taken: 8.93 s  characters: 835  line: 37
Timestamp: 12 Mar 2021 , 12:13:57 AM  Avg. characters per second: 121.46  Time Taken: 10.25 s  characters: 1245  line: 38
Timestamp: 12 Mar 2021 , 12:14:04 AM  Avg. characters per second: 89.06  Time Taken: 6.58 s  characters: 586  line: 39
Timestamp: 12 Mar 2021 , 12:14:12 AM  Avg. characters per second: 96.77  Time Taken: 7.87 s  characters: 762  line: 40
Timestamp: 12 Mar 2021 , 12:14:20 AM  Avg. characters per second: 105.55  Time Taken: 8.33 s  characters: 879  line: 41
Timestamp: 12 Mar 2021 , 12:14:31 AM  Avg. characters per second: 101.47  Time Taken: 10.79 s  characters: 1095  line: 42
Timestamp: 12 Mar 2021 , 12:14:42 AM  Avg. characters per second: 70.01  Time Taken: 10.80 s  characters: 756  line: 43
Timestamp: 12 Mar 2021 , 12:14:52 AM  Avg. characters per second: 78.23  Time Taken: 10.61 s  characters: 830  line: 44
Timestamp: 12 Mar 2021 , 12:14:59 AM  Avg. characters per second: 114.31  Time Taken: 7.03 s  characters: 804  line: 45
Timestamp: 12 Mar 2021 , 12:15:04 AM  Avg. characters per second: 153.68  Time Taken: 4.80 s  characters: 738  line: 46
Timestamp: 12 Mar 2021 , 12:15:20 AM  Avg. characters per second: 82.32  Time Taken: 15.56 s  characters: 1281  line: 47
Timestamp: 12 Mar 2021 , 12:15:35 AM  Avg. characters per second: 37.20  Time Taken: 15.13 s  characters: 563  line: 48
Timestamp: 12 Mar 2021 , 12:15:43 AM  Avg. characters per second: 81.50  Time Taken: 8.32 s  characters: 678  line: 49
Timestamp: 12 Mar 2021 , 12:15:53 AM  Avg. characters per second: 126.91  Time Taken: 10.04 s  characters: 1274  line: 50
Timestamp: 12 Mar 2021 , 12:16:01 AM  Avg. characters per second: 64.95  Time Taken: 8.02 s  characters: 521  line: 51
Timestamp: 12 Mar 2021 , 12:16:10 AM  Avg. characters per second: 107.96  Time Taken: 8.81 s  characters: 951  line: 52
Timestamp: 12 Mar 2021 , 12:16:19 AM  Avg. characters per second: 63.75  Time Taken: 9.07 s  characters: 578  line: 53
Timestamp: 12 Mar 2021 , 12:16:30 AM  Avg. characters per second: 100.80  Time Taken: 11.55 s  characters: 1164  line: 54
Timestamp: 12 Mar 2021 , 12:16:41 AM  Avg. characters per second: 74.69  Time Taken: 10.68 s  characters: 798  line: 55
Timestamp: 12 Mar 2021 , 12:16:47 AM  Avg. characters per second: 98.28  Time Taken: 5.79 s  characters: 569  line: 56
Timestamp: 12 Mar 2021 , 12:16:49 AM  Avg. characters per second: 121.24  Time Taken: 1.99 s  characters: 241  line: 57
Timestamp: 12 Mar 2021 , 12:16:52 AM  Avg. characters per second: 90.56  Time Taken: 2.63 s  characters: 238  line: 58
Timestamp: 12 Mar 2021 , 12:16:54 AM  Avg. characters per second: 231.04  Time Taken: 2.11 s  characters: 488  line: 59
Timestamp: 12 Mar 2021 , 12:16:58 AM  Avg. characters per second: 176.18  Time Taken: 4.76 s  characters: 838  line: 60
Timestamp: 12 Mar 2021 , 12:17:03 AM  Avg. characters per second: 154.29  Time Taken: 4.44 s  characters: 685  line: 61
Timestamp: 12 Mar 2021 , 12:17:11 AM  Avg. characters per second: 97.26  Time Taken: 7.77 s  characters: 756  line: 62
Timestamp: 12 Mar 2021 , 12:17:23 AM  Avg. characters per second: 123.52  Time Taken: 12.62 s  characters: 1559  line: 63
Timestamp: 12 Mar 2021 , 12:17:30 AM  Avg. characters per second: 126.99  Time Taken: 6.57 s  characters: 834  line: 64
Timestamp: 12 Mar 2021 , 12:17:37 AM  Avg. characters per second: 81.16  Time Taken: 7.21 s  characters: 585  line: 65
Timestamp: 12 Mar 2021 , 12:17:42 AM  Avg. characters per second: 144.60  Time Taken: 4.94 s  characters: 715  line: 66
Timestamp: 12 Mar 2021 , 12:17:47 AM  Avg. characters per second: 120.86  Time Taken: 4.77 s  characters: 577  line: 67
Timestamp: 12 Mar 2021 , 12:17:52 AM  Avg. characters per second: 191.54  Time Taken: 4.79 s  characters: 918  line: 68
Timestamp: 12 Mar 2021 , 12:17:57 AM  Avg. characters per second: 172.25  Time Taken: 5.12 s  characters: 882  line: 69
Timestamp: 12 Mar 2021 , 12:18:00 AM  Avg. characters per second: 80.39  Time Taken: 2.87 s  characters: 231  line: 70
Timestamp: 12 Mar 2021 , 12:18:24 AM  Avg. characters per second: 111.07  Time Taken: 24.21 s  characters: 2689  line: 71
Timestamp: 12 Mar 2021 , 12:18:30 AM  Avg. characters per second: 81.33  Time Taken: 6.50 s  characters: 529  line: 72
Timestamp: 12 Mar 2021 , 12:18:38 AM  Avg. characters per second: 153.96  Time Taken: 8.07 s  characters: 1243  line: 73
Timestamp: 12 Mar 2021 , 12:18:44 AM  Avg. characters per second: 118.50  Time Taken: 5.78 s  characters: 685  line: 74
Timestamp: 12 Mar 2021 , 12:18:54 AM  Avg. characters per second: 168.45  Time Taken: 9.50 s  characters: 1600  line: 75
Timestamp: 12 Mar 2021 , 12:18:59 AM  Avg. characters per second: 159.31  Time Taken: 5.08 s  characters: 809  line: 76
Timestamp: 12 Mar 2021 , 12:19:05 AM  Avg. characters per second: 116.91  Time Taken: 6.21 s  characters: 726  line: 77
Timestamp: 12 Mar 2021 , 12:19:10 AM  Avg. characters per second: 155.22  Time Taken: 4.81 s  characters: 747  line: 78
Timestamp: 12 Mar 2021 , 12:19:17 AM  Avg. characters per second: 135.95  Time Taken: 7.15 s  characters: 972  line: 79
Timestamp: 12 Mar 2021 , 12:19:27 AM  Avg. characters per second: 102.55  Time Taken: 10.34 s  characters: 1060  line: 80
Timestamp: 12 Mar 2021 , 12:19:35 AM  Avg. characters per second: 114.85  Time Taken: 7.73 s  characters: 888  line: 81
Timestamp: 12 Mar 2021 , 12:19:40 AM  Avg. characters per second: 105.24  Time Taken: 5.48 s  characters: 577  line: 82
Timestamp: 12 Mar 2021 , 12:19:47 AM  Avg. characters per second: 125.77  Time Taken: 6.60 s  characters: 830  line: 83
Timestamp: 12 Mar 2021 , 12:19:55 AM  Avg. characters per second: 179.65  Time Taken: 7.54 s  characters: 1354  line: 84
Timestamp: 12 Mar 2021 , 12:20:00 AM  Avg. characters per second: 114.11  Time Taken: 5.70 s  characters: 651  line: 85
